OOI BARCODE,DESCRIPTION OF EQUIPMENT,QUANT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,Source of the Equipment/Award No. or PO No.,Whether Title Vests in Recipient or Federal Gov,LOCATION,ROOM NUMBER/CUSTODY,COND.,ACQUISITION DATE,ORIGINAL COST,PERCENTAGE OF FEDERAL PARTICIPATION,comments,primary_tag_date,primary_tag_organization,primary_institute_asset_tag,secondary_tag_date,second_tag_organization,institute_asset_tag,doi_tag_date,doi_tag_organization,doi_institute_asset_tag
ATOSU-69825-00002,ADCP SERIES I (WHLM75-1500),1,TELEDYNE RDI,WHM75-1500,18153,,J100016,WHOI,UNV,OSU,A,20120914,46795.5,100%,,20120914,WHOI,115083,9/18/2012,OSU,324986,9/4/2015,DOI,
ATOSU-69828-00001,CTDBP SERIES O (O-16PLUSV2),1,SEA-BIRD ELECTRONICS,O-16PLUSV2,16P71176-7231,,J100019,WHOI,UNV,OSU,A,20121203,18250,100%,,,,,,,,,,
ATOSU-58320-00021,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,133,,J100026,WHOI,UNV,OSU,A,20130124,5258.25,100%,,20130124,WHOI,115282,1/24/2013,OSU,325172,9/4/2015,DOI,
ATOSU-69829-00004,VEL3D SERIES C (VECTOR),1,NORTEK,VECTOR,8159,,J100013,WHOI,UNV,OSU,A,20120828,15960,100%,,20120828,WHOI,115072,8/29/2012,OSU,324983,9/4/2015,DOI,
ATOSU-69943-00011,OPTAA SERIES C (AC-S DEEP),1,Wet Labs,AC-S,ACS-140,,J100029,WHOI,UNV,OSU,A,20130426,41710,100%,,20130426,WHOI,115951,4/26/2013,OSU,325871,9/4/2015,DOI,
ATOSU-70570-00002,PCO2W SERIES B (SAMI-CO2),1,Sunburst Sensors,SAMI-CO2,C0080,,J100050,WHOI,UNV,OSU,A,20140127,20208.3,100%,,20140127,WHOI,116042,1/27/2014,OSU,325936,9/4/2015,DOI,
ATOSU-70571-00002,PHSEN SERIES D (SAMI-PH),1,Sunburst Sensors,SAMI-PH,P0117,,J100050,WHOI,UNV,OSU,A,20140121,17479.95,100%,,20140121,WHOI,A00648,1/21/2014,OSU,325915,9/4/2015,DOI,
ATOSU-58324-00015,"Passive Bioacoustics, HYDBB-B",1,Ocean Sonics,icListen SB35-ETH,1249,,,,OSU,OSU,,20130321,13943.61,100%,,20130321,,,,SIO,,,,
ATOSU-58320-00008,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,137,,J100026,WHOI,UNV,OSU,A,20130124,5258.25,100%,,20130124,WHOI,115286,1/24/2013,OSU,325176,9/4/2015,DOI,
ATOSU-66662-00007,Shallow 16 Plus V2 CTD,1,SEA-BIRD ELECTRONICS,16plusV2 (600m),16-50019,,150324038,,,,A,20150511,13535,100%,,,,,,,,,,
ATAPL-58694-00004,DOFSTA for RSN,,,,43-2853,,,,,,,,,,,,,,,,,,,
ATOSU-58337-00008,PHSEN SERIES D (SAMI-PH),1,Sunburst Sensors,SAMI-PH,P0131,,E115403,WHOI,UNV,OSU,A,20140425,18003.4,100%,,,,,,,,,,
ATOSU-58322-00008,FLORT SERIES D (ECO TRIPLET-W),1,Wet Labs,BBFL2W ECO TRIPLET-W,1150,,J100055,WHOI,UNV,OSU,A,20140218,13013.52,100%,,20140218,WHOI,A00695,2/18/2014,OSU,325959,9/4/2015,DOI,
ATOSU-66645-00005,PARAD,,,,434,,,,,,,,,,,,,,,,,,,
ATAPL-68020-00005,NUTNR,1,SATLANTIC,ISUS,344,,,,,,A,20140924,38790.36,100%,,,,,,,,,,
ATOSU-58337-00007,PHSEN SERIES D (SAMI-PH),1,Sunburst Sensors,SAMI-PH,P0115,,J100050,WHOI,UNV,OSU,A,20140109,17479.95,100%,,20140109,WHOI,A00629,1/9/2014,OSU,325914,9/4/2015,DOI,
ATOSU-58336-00006,PCO2W SERIES A (SAMI-CO2),1,Sunburst Sensors,SAMI-CO2,C0079,,J100050,WHOI,UNV,OSU,A,20140127,17942.3,100%,,20140127,WHOI,116126,1/27/2014,OSU,325937,9/4/2015,DOI,
ATOSU-58336-00005,PCO2W SERIES A (SAMI-CO2),1,Sunburst Sensors,SAMI-CO2,C0078,,J100050,WHOI,UNV,OSU,A,20140109,17942.3,100%,,20140109,WHOI,A00626,1/9/2014,OSU,325911,9/4/2015,DOI,
ATAPL-67596-00001,Phytoplankton Sampler (PPS) Housing  (O&M),1,PMEL,Custom,12881-04,,120822012,O.L.,UW,VISIONS2014:MJ03C,A,20121006,5100,100%,,20121006,UW,N/A,,,,,,
ATAPL-67614-00001,Remote Access Sampler (RAS) Housing  (O&M),1,PMEL,Custom,12881-01,,120822012,O.L.,UW,VISIONS2014:MJ03C,A,20130219,9900,100%,,20130219,UW,N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ATOSU-58317-00012,Underwater Digital Still Camera (CAMDS),1,Kongsberg Underwater Technology Inc,Custom,117,,,,,,A,,,100%,,,UW,,,,,,DOI,
ATOSU-69826-00001,ADCP SERIES B (WHM600-500),1,TELEDYNE RDI,WHM300-500,18493,,J100014,WHOI,UNV,OSU,A,20120826,22482,100%,,20120826,WHOI,115070,8/22/2012,OSU,324981,9/4/2015,DOI,
ATOSU-69827-00003,CTDBP SERIES N (N-16PLUSV2),1,SEA-BIRD ELECTRONICS,N-16PLUSV2,16P71879-7248,,J100036,WHOI,UNV,OSU,A,20130115,17550,100%,,20130115,WHOI,115270,1/15/2013,OSU,325158,9/4/2015,DOI,
ATOSU-58320-00020,DOSTA for RSN,1,,,216,,,,,,,,,,,,,,,,,,,
ATOSU-69829-00003,VEL3D-C,1,,,8167,,,,,,,,,,,,,,,,,,,
ATOSU-69943-00012,OPTAA-D,1,,,243,,,,,,,,,,,,,,,,,,,
ATOSU-70570-00001,PCO2W-B,1,,,C0064,,,,,,,,,,,,,,,,,,,
ATOSU-70571-00001,PHSEN-D,1,,,P0116,,,,,,,,,,,,,,,,,,,
ATOSU-58324-00014,HYDBB-A,1,,,1248,,,,,,,,,,,,,,,,,,,
ATOSU-66662-00006,CTDPF-A,1,,,16-50018,,,,,,,,,,,,,,,,,,,
ATOSU-58320-00007,DOSTA for RSN,1,,,215,,,,,,,,,,,,,,,,,,,
ATOSU-63259-00005,ZPLSC-B,1,,,2,,,,,,,,,,,,,,,,,,,
ATAPL-69943-00009,OPTAA-D,1,,,250,,,,,,,,,,,,,,,,,,,
ATOSU-58341-00005,SPKIR-A,1,,,341,,,,,,,,,,,,,,,,,,,
ATAPL-69943-00007,OPTAA-C,1,,,247,,,,,,,,,,,,,,,,,,,
ATAPL-58337-00014,PHSEN-A,1,,,P0164,,,,,,,,,,,,,,,,,,,
ATAPL-58317-00009,CAMDS-C,1,,,114,,,,,,,,,,,,,,,,,,,
ATOSU-58332-00009,OPTAA-D,1,,,169,,,,,,,,,,,,,,,,,,,
ATAPL-58337-00013,PHSEN-A,1,,,P0163,,,,,,,,,,,,,,,,,,,
ATAPL-67679-00007,VEL3D-B,1,,,10350,,,,,,,,,,,,,,,,,,,
ATAPL-67639-00005,PREST-A,1,,,5471540-0046,,,,,,,,,,,,,,,,,,,
ATAPL-69923-00002,PREST-B,1,,,5471540-0047,,,,,,,,,,,,,,,,,,,
ATAPL-67679-00006,VEL3D-B,1,,,10349,,,,,,,,,,,,,,,,,,,
ATAPL-58317-00010,CAMDS-B,1,,,115,,,,,,,,,,,,,,,,,,,
ATAPL-67639-00006,PREST-A,1,,,5471540-0048,,,,,,,,,,,,,,,,,,,
ATAPL-67679-00008,VEL3D-B,1,,,10351,,,,,,,,,,,,,,,,,,,
ATOSU-58324-00016,HYDBB-A,1,,,1412,,,,,,,,,,,,,,,,,,,
ATOSU-58317-00007,CAMDS-C,1,,,100,,,,,,,,,,,,,,,,,,,
ATAPL-58317-00011,CAMDS-B,1,,,116,,,,,,,,,,,,,,,,,,,
ATAPL-67679-00009,VEL3D-B,1,,,10352,,,,,,,,,,,,,,,,,,,
ATAPL-65244-840-0035,Medium Power Junction Box,1,,,SN0035,,,,,,,,,,,,,,,,,,,
ATAPL-70113-00002,RS01SUM2-MJ01B-00-FLOBNA101M,1,,,4,,,,,,,,,,,,,,,,,,,
ATAPL-65310-810-0005,Low Voltage Junction Box,1,,,SN0006,,,,,,,,,,,,,,,,,,,
ATAPL-65310-850-0012,Low Voltage Junction Box,1,,,SN0012,,,,,,,,,,,,,,,,,,,