CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
KN221-04,,AT30-01,,GI03FLMA-RI000-00-CTDMOH000,1,1,2014-09-12T20:11:00,2015-08-18T10:41:00,CGMGI-03FLMA-00001,,CGINS-CTDMOH-12225,59.76683,-39.8425,,1700,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RI000-00-CTDMOH100,1,1,2014-09-12T20:11:00,2015-08-18T10:41:00,CGMGI-03FLMA-00001,,CGINS-CTDMOH-12227,59.76683,-39.8425,,2600,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RI000-00-CTDMOH400,1,1,2014-09-12T20:11:00,2015-08-18T10:41:00,CGMGI-03FLMA-00001,,CGINS-CTDMOH-12389,59.76683,-39.8425,,2300,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RI000-00-CTDMOH700,1,1,2014-09-12T20:11:00,2015-08-18T10:41:00,CGMGI-03FLMA-00001,,CGINS-CTDMOH-12222,59.76683,-39.8425,,2000,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RI000-00-VELPTB000,1,1,2014-09-12T20:11:00,2015-08-18T10:41:00,CGMGI-03FLMA-00001,,CGINS-VELPTB-11669,59.76683,-39.8425,,1700,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RI000-00-VELPTB100,1,1,2014-09-12T20:11:00,2015-08-18T10:41:00,CGMGI-03FLMA-00001,,CGINS-VELPTB-11970,59.76683,-39.8425,,2600,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RI000-00-VELPTB400,1,1,2014-09-12T20:11:00,2015-08-18T10:41:00,CGMGI-03FLMA-00001,,CGINS-VELPTB-11967,59.76683,-39.8425,,2300,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RI000-00-VELPTB700,1,1,2014-09-12T20:11:00,2015-08-18T10:41:00,CGMGI-03FLMA-00001,,CGINS-VELPTB-11964,59.76683,-39.8425,,2000,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RIM01-00-SIOENG000,1,1,2014-09-12T20:11:00,2015-08-18T10:41:00,CGMGI-03FLMA-00001,,CGCON-SIOCON-13286,59.76683,-39.8425,,1504,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RIM01-02-ADCPSL003,1,1,2014-09-12T20:11:00,2015-08-18T10:41:00,CGMGI-03FLMA-00001,,CGINS-ADCPSL-18261,59.76683,-39.8425,,496,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RIM01-02-CTDMOG040,1,1,2014-09-12T20:11:00,2015-08-18T09:00:00,CGMGI-03FLMA-00001,,CGINS-CTDMOG-11613,59.76683,-39.8425,,26,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RIM01-02-CTDMOG041,1,1,2014-09-12T20:11:00,2015-08-18T09:00:00,CGMGI-03FLMA-00001,,CGINS-CTDMOG-11533,59.76683,-39.8425,,36,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RIM01-02-CTDMOG042,1,1,2014-09-12T20:11:00,2015-08-18T09:00:00,CGMGI-03FLMA-00001,,CGINS-CTDMOG-12308,59.76683,-39.8425,,56,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RIM01-02-CTDMOG043,1,1,2014-09-12T20:11:00,2015-08-18T09:00:00,CGMGI-03FLMA-00001,,CGINS-CTDMOG-12309,59.76683,-39.8425,,86,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RIM01-02-CTDMOG044,1,1,2014-09-12T20:11:00,2015-08-18T09:00:00,CGMGI-03FLMA-00001,,CGINS-CTDMOG-11534,59.76683,-39.8425,,126,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RIM01-02-CTDMOG045,1,1,2014-09-12T20:11:00,2015-08-18T09:00:00,CGMGI-03FLMA-00001,,CGINS-CTDMOG-11606,59.76683,-39.8425,,176,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RIM01-02-CTDMOG046,1,1,2014-09-12T20:11:00,2015-08-18T09:00:00,CGMGI-03FLMA-00001,,CGINS-CTDMOG-12189,59.76683,-39.8425,,246,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RIM01-02-CTDMOG047,1,1,2014-09-12T20:11:00,2015-08-18T09:00:00,CGMGI-03FLMA-00001,,CGINS-CTDMOG-11604,59.76683,-39.8425,,346,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RIM01-02-CTDMOG048,1,1,2014-09-12T20:11:00,2015-08-18T10:41:00,CGMGI-03FLMA-00001,,CGINS-CTDMOG-11608,59.76683,-39.8425,,496,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RIM01-02-CTDMOH049,1,1,2014-09-12T20:11:00,2015-08-18T10:41:00,CGMGI-03FLMA-00001,,CGINS-CTDMOH-11599,59.76683,-39.8425,,746,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RIM01-02-CTDMOH050,1,1,2014-09-12T20:11:00,2015-08-18T10:41:00,CGMGI-03FLMA-00001,,CGINS-CTDMOH-11602,59.76683,-39.8425,,996,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RIM01-02-CTDMOH051,1,1,2014-09-12T20:11:00,2015-08-18T10:41:00,CGMGI-03FLMA-00001,,CGINS-CTDMOH-11597,59.76683,-39.8425,,1496,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RIS01-00-SIOENG000,1,1,2014-09-12T20:11:00,2015-08-18T09:00:00,CGMGI-03FLMA-00001,,CGCON-SIOCON-13280,59.76683,-39.8425,,26,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RIS01-03-DOSTAD000,1,1,2014-09-12T20:11:00,2015-08-18T09:00:00,CGMGI-03FLMA-00001,,CGINS-DOSTAD-00228,59.76683,-39.8425,,26,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RIS01-04-PHSENF000,1,1,2014-09-12T20:11:00,2015-08-18T09:00:00,CGMGI-03FLMA-00001,,CGINS-PHSENF-P0079,59.76683,-39.8425,,26,2700,,,
KN221-04,,AT30-01,,GI03FLMA-RIS01-05-FLORTD000,1,1,2014-09-12T20:11:00,2015-08-18T09:00:00,CGMGI-03FLMA-00001,,CGINS-FLORTD-01122,59.76683,-39.8425,,26,2700,,,
AT30-01,,AR7-01,,GI03FLMA-RI000-00-CTDMOH000,2,1,2015-08-18T23:47:00,2016-07-17T10:15:00,CGMGI-03FLMA-00002,,CGINS-CTDMOH-13447,59.77067,-39.8801,,1688,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RI000-00-CTDMOH100,2,1,2015-08-18T23:47:00,2016-07-17T10:15:00,CGMGI-03FLMA-00002,,CGINS-CTDMOH-13450,59.77067,-39.8801,,2588,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RI000-00-CTDMOH400,2,1,2015-08-18T23:47:00,2016-07-17T10:15:00,CGMGI-03FLMA-00002,,CGINS-CTDMOH-13449,59.77067,-39.8801,,2288,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RI000-00-CTDMOH700,2,1,2015-08-18T23:47:00,2016-07-17T10:15:00,CGMGI-03FLMA-00002,,CGINS-CTDMOH-13448,59.77067,-39.8801,,1988,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RI000-00-VELPTB000,2,1,2015-08-18T23:47:00,2016-07-17T10:15:00,CGMGI-03FLMA-00002,,CGINS-VELPTB-12673,59.77067,-39.8801,,1688,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RI000-00-VELPTB100,2,1,2015-08-18T23:47:00,2016-07-17T10:15:00,CGMGI-03FLMA-00002,,CGINS-VELPTB-12236,59.77067,-39.8801,,2588,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RI000-00-VELPTB400,2,1,2015-08-18T23:47:00,2016-07-17T10:15:00,CGMGI-03FLMA-00002,,CGINS-VELPTB-12195,59.77067,-39.8801,,2288,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RI000-00-VELPTB700,2,1,2015-08-18T23:47:00,2016-07-17T10:15:00,CGMGI-03FLMA-00002,,CGINS-VELPTB-12663,59.77067,-39.8801,,1988,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RIM01-00-SIOENG000,2,1,2015-08-18T23:47:00,2016-07-17T10:15:00,CGMGI-03FLMA-00002,,CGCON-SIOCON-13993,59.77067,-39.8801,,1507,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RIM01-02-ADCPSL003,2,1,2015-08-18T23:47:00,2016-07-17T10:15:00,CGMGI-03FLMA-00002,,CGINS-ADCPSL-23380,59.77067,-39.8801,,501,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RIM01-02-CTDMOG040,2,1,2015-08-18T23:47:00,2016-07-17T07:55:00,CGMGI-03FLMA-00002,,CGINS-CTDMOG-13419,59.77067,-39.8801,,31,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RIM01-02-CTDMOG041,2,1,2015-08-18T23:47:00,2016-07-17T07:55:00,CGMGI-03FLMA-00002,,CGINS-CTDMOG-13420,59.77067,-39.8801,,41,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RIM01-02-CTDMOG042,2,1,2015-08-18T23:47:00,2016-07-17T07:55:00,CGMGI-03FLMA-00002,,CGINS-CTDMOG-13421,59.77067,-39.8801,,61,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RIM01-02-CTDMOG043,2,1,2015-08-18T23:47:00,2016-07-17T07:55:00,CGMGI-03FLMA-00002,,CGINS-CTDMOG-13422,59.77067,-39.8801,,91,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RIM01-02-CTDMOG044,2,1,2015-08-18T23:47:00,2016-07-17T07:55:00,CGMGI-03FLMA-00002,,CGINS-CTDMOG-13425,59.77067,-39.8801,,131,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RIM01-02-CTDMOG045,2,1,2015-08-18T23:47:00,2016-07-17T07:55:00,CGMGI-03FLMA-00002,,CGINS-CTDMOG-13426,59.77067,-39.8801,,181,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RIM01-02-CTDMOG046,2,1,2015-08-18T23:47:00,2016-07-17T07:55:00,CGMGI-03FLMA-00002,,CGINS-CTDMOG-13427,59.77067,-39.8801,,251,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RIM01-02-CTDMOG047,2,1,2015-08-18T23:47:00,2016-07-17T07:55:00,CGMGI-03FLMA-00002,,CGINS-CTDMOG-13428,59.77067,-39.8801,,351,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RIM01-02-CTDMOG048,2,1,2015-08-18T23:47:00,2016-07-17T10:15:00,CGMGI-03FLMA-00002,,CGINS-CTDMOG-13429,59.77067,-39.8801,,501,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RIM01-02-CTDMOH049,2,1,2015-08-18T23:47:00,2016-07-17T10:15:00,CGMGI-03FLMA-00002,,CGINS-CTDMOH-13444,59.77067,-39.8801,,751,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RIM01-02-CTDMOH050,2,1,2015-08-18T23:47:00,2016-07-17T10:15:00,CGMGI-03FLMA-00002,,CGINS-CTDMOH-13445,59.77067,-39.8801,,1001,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RIM01-02-CTDMOH051,2,1,2015-08-18T23:47:00,2016-07-17T10:15:00,CGMGI-03FLMA-00002,,CGINS-CTDMOH-13446,59.77067,-39.8801,,1501,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RIS01-00-SIOENG000,2,1,2015-08-18T23:47:00,2016-07-17T07:55:00,CGMGI-03FLMA-00002,,CGCON-SIOCON-12372,59.77067,-39.8801,,31,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RIS01-03-DOSTAD000,2,1,2015-08-18T23:47:00,2016-07-17T07:55:00,CGMGI-03FLMA-00002,,CGINS-DOSTAD-00465,59.77067,-39.8801,,31,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RIS01-04-PHSENF000,2,1,2015-08-18T23:47:00,2016-07-17T07:55:00,CGMGI-03FLMA-00002,,CGINS-PHSENF-P0174,59.77067,-39.8801,,31,2688,,,
AT30-01,,AR7-01,,GI03FLMA-RIS01-05-FLORTD000,2,1,2015-08-18T23:47:00,2016-07-17T07:55:00,CGMGI-03FLMA-00002,,CGINS-FLORTD-01298,59.77067,-39.8801,,31,2688,,,
AR7-01,,AR21,,GI03FLMA-RI000-00-CTDMOH000,3,1,2016-07-12T15:59:00,2017-08-12T11:36:00,CGMGI-03FLMA-00003,,CGINS-CTDMOH-10227,59.7677,-39.84123,,1700,2696,,,
AR7-01,,AR21,,GI03FLMA-RI000-00-CTDMOH100,3,1,2016-07-12T15:59:00,2017-08-12T11:36:00,CGMGI-03FLMA-00003,,CGINS-CTDMOH-11683,59.7677,-39.84123,,2600,2696,,,
AR7-01,,AR21,,GI03FLMA-RI000-00-CTDMOH400,3,1,2016-07-12T15:59:00,2017-08-12T11:36:00,CGMGI-03FLMA-00003,,CGINS-CTDMOH-10265,59.7677,-39.84123,,2300,2696,,,
AR7-01,,AR21,,GI03FLMA-RI000-00-CTDMOH700,3,1,2016-07-12T15:59:00,2017-08-12T11:36:00,CGMGI-03FLMA-00003,,CGINS-CTDMOH-10264,59.7677,-39.84123,,2000,2696,,,
AR7-01,,AR21,,GI03FLMA-RI000-00-VELPTB000,3,1,2016-07-12T15:59:00,2017-08-12T11:36:00,CGMGI-03FLMA-00003,,CGINS-VELPTB-11669,59.7677,-39.84123,,1700,2696,,,
AR7-01,,AR21,,GI03FLMA-RI000-00-VELPTB100,3,1,2016-07-12T15:59:00,2017-08-12T11:36:00,CGMGI-03FLMA-00003,,CGINS-VELPTB-11969,59.7677,-39.84123,,2600,2696,,,
AR7-01,,AR21,,GI03FLMA-RI000-00-VELPTB400,3,1,2016-07-12T15:59:00,2017-08-12T11:36:00,CGMGI-03FLMA-00003,,CGINS-VELPTB-11967,59.7677,-39.84123,,2300,2696,,,
AR7-01,,AR21,,GI03FLMA-RI000-00-VELPTB700,3,1,2016-07-12T15:59:00,2017-08-12T11:36:00,CGMGI-03FLMA-00003,,CGINS-VELPTB-11964,59.7677,-39.84123,,2000,2696,,,
AR7-01,,AR21,,GI03FLMA-RIM01-00-SIOENG000,3,1,2016-07-12T15:59:00,2017-08-12T11:36:00,CGMGI-03FLMA-00003,,CGCON-SIOCON-13279,59.7677,-39.84123,,1507,2696,,,
AR7-01,,AR21,,GI03FLMA-RIM01-02-ADCPSL003,3,1,2016-07-12T15:59:00,2017-08-12T11:36:00,CGMGI-03FLMA-00003,,CGINS-ADCPSL-18353,59.7677,-39.84123,,500,2696,,,
AR7-01,,AR21,,GI03FLMA-RIM01-02-CTDMOG040,3,1,2016-07-12T15:59:00,2017-08-12T10:00:00,CGMGI-03FLMA-00003,,CGINS-CTDMOG-11612,59.7677,-39.84123,,30,2696,,,
AR7-01,,AR21,,GI03FLMA-RIM01-02-CTDMOG041,3,1,2016-07-12T15:59:00,2017-08-12T10:00:00,CGMGI-03FLMA-00003,,CGINS-CTDMOG-12308,59.7677,-39.84123,,40,2696,,,
AR7-01,,AR21,,GI03FLMA-RIM01-02-CTDMOG042,3,1,2016-07-12T15:59:00,2017-08-12T10:00:00,CGMGI-03FLMA-00003,,CGINS-CTDMOG-12309,59.7677,-39.84123,,60,2696,,,
AR7-01,,AR21,,GI03FLMA-RIM01-02-CTDMOG043,3,1,2016-07-12T15:59:00,2017-08-12T10:00:00,CGMGI-03FLMA-00003,,CGINS-CTDMOG-12310,59.7677,-39.84123,,90,2696,,,
AR7-01,,AR21,,GI03FLMA-RIM01-02-CTDMOG044,3,1,2016-07-12T15:59:00,2017-08-12T10:00:00,CGMGI-03FLMA-00003,,CGINS-CTDMOG-11533,59.7677,-39.84123,,130,2696,,,
AR7-01,,AR21,,GI03FLMA-RIM01-02-CTDMOG045,3,1,2016-07-12T15:59:00,2017-08-12T10:00:00,CGMGI-03FLMA-00003,,CGINS-CTDMOG-11534,59.7677,-39.84123,,180,2696,,,
AR7-01,,AR21,,GI03FLMA-RIM01-02-CTDMOG046,3,1,2016-07-12T15:59:00,2017-08-12T10:00:00,CGMGI-03FLMA-00003,,CGINS-CTDMOG-11609,59.7677,-39.84123,,250,2696,,,
AR7-01,,AR21,,GI03FLMA-RIM01-02-CTDMOG047,3,1,2016-07-12T15:59:00,2017-08-12T10:00:00,CGMGI-03FLMA-00003,,CGINS-CTDMOG-11535,59.7677,-39.84123,,350,2696,,,
AR7-01,,AR21,,GI03FLMA-RIM01-02-CTDMOG048,3,1,2016-07-12T15:59:00,2017-08-12T11:36:00,CGMGI-03FLMA-00003,,CGINS-CTDMOG-11593,59.7677,-39.84123,,500,2696,,,
AR7-01,,AR21,,GI03FLMA-RIM01-02-CTDMOH049,3,1,2016-07-12T15:59:00,2017-08-12T11:36:00,CGMGI-03FLMA-00003,,CGINS-CTDMOH-12219,59.7677,-39.84123,,750,2696,,,
AR7-01,,AR21,,GI03FLMA-RIM01-02-CTDMOH050,3,1,2016-07-12T15:59:00,2017-08-12T11:36:00,CGMGI-03FLMA-00003,,CGINS-CTDMOH-12389,59.7677,-39.84123,,1000,2696,,,
AR7-01,,AR21,,GI03FLMA-RIM01-02-CTDMOH051,3,1,2016-07-12T15:59:00,2017-08-12T11:36:00,CGMGI-03FLMA-00003,,CGINS-CTDMOH-12227,59.7677,-39.84123,,1500,2696,,,
AR7-01,,AR21,,GI03FLMA-RIS01-00-SIOENG000,3,1,2016-07-12T15:59:00,2017-08-12T10:00:00,CGMGI-03FLMA-00003,,CGCON-SIOCON-13278,59.7677,-39.84123,,30,2696,,,
