instrumentType,assetID,mfgSN
ADCPSI,ATOSU-69825-00001,21498
ADCPSI,ATOSU-69825-00002,18153
ADCPSI,ATOSU-69825-00003,18919
ADCPSK,ATAPL-58419-00001,18444
ADCPSK,ATAPL-58419-00002,18975
ADCPSK,ATAPL-58419-00003,18977
ADCPTB,ATOSU-69826-00001,18493
ADCPTB,ATOSU-69826-00002,19003
ADCPTB,ATOSU-69826-00003,22115
ADCPTD,ATAPL-58315-00001,18478
ADCPTD,ATAPL-58315-00002,18974
ADCPTD,ATAPL-58315-00003,18980
ADCPTD,ATAPL-58315-00004,23338
ADCPTD,ATAPL-58315-00005,23339
ADCPTE,ATAPL-68073-00001,18471
ADCPTE,ATAPL-68073-00002,18813
ADCPTE,ATAPL-68073-00003,19224
ADCPTE,ATAPL-68073-00004,23442
ADCPTE,ATAPL-68073-00005,23443
ADCPFP,PIRSN-PADCPA-00001,1023
CTDBPN,ATOSU-69827-00001,16-7230
CTDBPN,ATOSU-69827-00002,16-50114
CTDBPN,ATOSU-69827-00003,16-7248
CTDBPO,ATOSU-69828-00001,16-7231
CTDBPO,ATOSU-69828-00002,16-7249
CTDBPO,ATOSU-69828-00003,16-50117
CTDPFA,ATAPL-66662-00001,16-6914
CTDPFA,ATAPL-66662-00002,16-7205
CTDPFA,ATAPL-66662-00003,16-7232
CTDPFA,ATAPL-66662-00004,16-7233
CTDPFA,ATAPL-66662-00005,16-50030
CTDPFA,ATAPL-66662-00008,16-50115
CTDPFA,ATAPL-66662-00009,16-50118
CTDPFA,ATAPL-66662-00010,16-50122
CTDPFA,ATAPL-66662-00011,16-50123
CTDPFA,ATAPL-66662-00012,16-50127
CTDPFA,ATOSU-66662-00006,16-50018
CTDPFA,ATOSU-66662-00007,16-50019
CTDPFA,ATOSU-66662-00013,16-50112
CTDPFA,ATOSU-66662-00014,16-50113
CTDPFB,ATAPL-67627-00001,16-6943
CTDPFB,ATAPL-67627-00002,16-7234
CTDPFB,ATAPL-67627-00003,16-50031
CTDPFB,ATAPL-67627-00004,16-50119
CTDPFB,ATAPL-67627-00005,16-50128
CTDPFB,ATCWK-67627-00006,16-50209
CTDPFB,ATCWK-67627-00007,16-50210
CTDPFB,ATCWK-67627-00008,16-50321
CTDPFB,ATCWK-67627-00009,16-50325
CTDPFB,ATCWK-67627-00010,16-50326
CTDPFB,ATCWK-67627-00011,16-50327
CTDPFL,ATAPL-67977-00001,52-0120
CTDPFL,ATAPL-67977-00002,52-0137
CTDPFL,ATAPL-67977-00003,52-0139
CTDPFL,ATAPL-67977-00004,52-0144
CTDPFL,ATAPL-67977-00005,52-0145
CTDPFL,ATOSU-67977-00006,52-0146
CTDPFL,ATOSU-67977-00007,52-0138
DOFSTA,ATAPL-58694-00001,43-2463
DOFSTA,ATAPL-58694-00002,43-2484
DOFSTA,ATAPL-58694-00003,43-2891
DOFSTA,ATAPL-58694-00005,43-3163
DOFSTA,ATAPL-58694-00006,43-3164
DOFSTA,ATOSU-58694-00004,43-2853
DOFSTA,ATOSU-58694-00007,43-3136
DOSTAD,ATAPL-58320-00001,125
DOSTAD,ATAPL-58320-00002,344
DOSTAD,ATAPL-58320-00003,273
DOSTAD,ATAPL-58320-00004,274
DOSTAD,ATAPL-58320-00005,275
DOSTAD,ATAPL-58320-00006,276
DOSTAD,ATAPL-58320-00009,458
DOSTAD,ATAPL-58320-00010,459
DOSTAD,ATAPL-58320-00011,472
DOSTAD,ATAPL-58320-00012,473
DOSTAD,ATAPL-58320-00013,474
DOSTAD,ATAPL-58320-00014,475
DOSTAD,ATAPL-58320-00015,476
DOSTAD,ATAPL-58320-00016,487
DOSTAD,ATOSU-58320-00007,215
DOSTAD,ATOSU-58320-00008,137
DOSTAD,ATOSU-58320-00017,316
DOSTAD,ATOSU-58320-00018,317
DOSTAD,ATOSU-58320-00019,311
DOSTAD,ATOSU-58320-00020,216
DOSTAD,ATOSU-58320-00021,133
DOSTAD,ATOSU-58320-00022,381
FLCDRA,ATAPL-70111-00001,3098
FLCDRA,ATAPL-70111-00002,3399
FLCDRA,ATAPL-70111-00003,3460
FLCDRA,ATAPL-70111-00004,3715
FLCDRA,ATAPL-70111-00005,3716
FLCDRA,ATOSU-70111-00006,3717
FLCDRA,ATOSU-70111-00007,3400
FLNTUA,ATAPL-70110-00001,3099
FLNTUA,ATAPL-70110-00002,3397
FLNTUA,ATAPL-70110-00003,3468
FLNTUA,ATAPL-70110-00004,3637
FLNTUA,ATAPL-70110-00005,3638
FLNTUA,ATOSU-70110-00006,3762
FLNTUA,ATOSU-70110-00007,3398
FLORDD,ATAPL-58322-00001,1028
FLORDD,ATAPL-58322-00002,1129
FLORDD,ATAPL-58322-00003,1130
FLORDD,ATAPL-58322-00004,1131
FLORDD,ATAPL-58322-00005,1132
FLORDD,ATAPL-58322-00006,1194
FLORDD,ATAPL-58322-00007,1195
FLORDD,ATAPL-58322-00009,1292
FLORDD,ATAPL-58322-00010,1293
FLORDD,ATAPL-58322-00011,1297
FLORDD,ATAPL-58322-00012,1294
FLORDD,ATAPL-58322-00014,5967
FLORDD,ATOSU-58322-00008,1150
FLORDD,ATOSU-58322-00013,1289
NUTNRA,ATAPL-68020-00001,234
NUTNRA,ATAPL-68020-00002,379
NUTNRA,ATAPL-68020-00003,380
NUTNRA,ATAPL-68020-00004,429
NUTNRA,ATAPL-68020-00006,617
NUTNRA,ATAPL-68020-00007,618
NUTNRA,ATOSU-68020-00005,344
NUTNRA,ATOSU-68020-00008,625
OPTAAC,ATAPL-69943-00001,ACS-141
OPTAAC,ATAPL-69943-00002,ACS-155
OPTAAC,ATAPL-69943-00003,ACS-156
OPTAAC,ATAPL-69943-00004,ACS-158
OPTAAC,ATAPL-69943-00005,ACS-157
OPTAAC,ATAPL-69943-00006,ACS-204
OPTAAC,ATAPL-69943-00007,ACS-247
OPTAAC,ATAPL-69943-00008,ACS-248
OPTAAC,ATAPL-69943-00009,ACS-250
OPTAAC,ATAPL-69943-00012,ACS-243
OPTAAC,ATOSU-69943-00010,ACS-191
OPTAAC,ATOSU-69943-00011,ACS-140
OPTAAD,ATAPL-58332-00001,ACS-134
OPTAAD,ATAPL-58332-00002,ACS-166
OPTAAD,ATAPL-58332-00004,ACS-186
OPTAAD,ATAPL-58332-00005,ACS-244
OPTAAD,ATAPL-58332-00006,ACS-251
OPTAAD,ATOSU-58332-00003,ACS-128
OPTAAD,ATOSU-58332-00007,ACS-223
OPTAAD,ATOSU-58332-00008,ACS-221
OPTAAD,ATOSU-58332-00009,ACS-169
PARADA,ATAPL-66645-00001,226
PARADA,ATAPL-66645-00002,463
PARADA,ATAPL-66645-00003,464
PARADA,ATAPL-66645-00004,507
PARADA,ATAPL-66645-00006,556
PARADA,ATAPL-66645-00007,557
PARADA,ATOSU-66645-00005,434
PARADA,ATOSU-66645-00008,566
PARADA,ATAPL-78452-00001,1399
PARADA,ATAPL-78452-00002,1400
PARADA,ATAPL-78452-00003,1401
PARADA,ATAPL-78452-00004,1402
PARADA,ATAPL-78452-00005,1403
PARADA,ATAPL-78452-00006,1404
PARADA,ATAPL-78452-00007,1405
PCO2WA,ATAPL-58336-00001,C0047
PCO2WA,ATAPL-58336-00002,C0075
PCO2WA,ATAPL-58336-00003,C0076
PCO2WA,ATAPL-58336-00004,C0091
PCO2WA,ATAPL-58336-00009,C0123
PCO2WA,ATAPL-58336-00010,C0124
PCO2WA,ATOSU-58336-00005,C0078
PCO2WA,ATOSU-58336-00006,C0079
PCO2WA,ATOSU-58336-00007,C0116
PCO2WA,ATOSU-58336-00008,C0117
PCO2WB,ATOSU-70570-00001,C0064
PCO2WB,ATOSU-70570-00002,C0080
PCO2WB,ATOSU-70570-00003,C0090
PCO2WB,ATOSU-70570-00004,C0118
PHSENA,ATAPL-58337-00001,P0059
PHSENA,ATAPL-58337-00002,P0112
PHSENA,ATAPL-58337-00003,P0111
PHSENA,ATAPL-58337-00004,P0110
PHSENA,ATAPL-58337-00005,P0113
PHSENA,ATAPL-58337-00006,P0133
PHSENA,ATAPL-58337-00009,P0161
PHSENA,ATAPL-58337-00010,P0162
PHSENA,ATAPL-58337-00013,P0163
PHSENA,ATAPL-58337-00014,P0164
PHSENA,ATOSU-58337-00007,P0115
PHSENA,ATOSU-58337-00008,P0131
PHSENA,ATOSU-58337-00011,P0153
PHSENA,ATOSU-58337-00012,P0154
PHSEND,ATOSU-70571-00001,P0116
PHSEND,ATOSU-70571-00002,P0117
PHSEND,ATOSU-70571-00003,P0132
PHSEND,ATOSU-70571-00004,P0159
PRESTA,ATAPL-67639-00001,5463757-0012
PRESTA,ATAPL-67639-00002,5471540-0028
PRESTA,ATAPL-67639-00003,5471540-0029
PRESTA,ATAPL-67639-00004,5471540-0030
PRESTA,ATAPL-67639-00005,5471540-0046
PRESTA,ATAPL-67639-00006,5471540-0048
PRESTB,ATAPL-69923-00001,5471540-0031
PRESTB,ATAPL-69923-00002,5471540-0047
SPKIRA,ATAPL-58341-00001,233
SPKIRA,ATAPL-58341-00002,244
SPKIRA,ATAPL-58341-00003,245
SPKIRA,ATAPL-58341-00004,267
SPKIRA,ATAPL-58341-00006,292
SPKIRA,ATAPL-58341-00007,293
SPKIRA,ATOSU-58341-00005,241
SPKIRA,ATOSU-58341-00008,251
THSPHA,ATAPL-58342-00001,C_oldA
THSPHA,ATAPL-58342-00002,B_oldC
THSPHA,ATAPL-58342-00003,A_oldB
TMPSFA,ATAPL-58343-00001,21968
TMPSFA,ATAPL-58343-00002,21969
TMPSFA,ATAPL-58343-00003,21964
TRHPHA,ATAPL-67653-00001,1
TRHPHA,ATAPL-67653-00002,2
TRHPHA,ATAPL-67653-00003,3
VADCPA,ATAPL-58345-00001," 24494, 61247"
VADCPA,ATAPL-58345-00002,"19073, 64667"
VADCPA,ATAPL-58345-00003,"19075, 64689"
VADCPA,ATAPL-58345-00004,"21829, 23340"
VADCPA,ATAPL-58345-00005,"23248, 23341"
VADCPA,ATAPL-58345-00006,"23244, 23342"
VEL3DA,ATAPL-58346-00001,1001
VEL3DA,ATAPL-58346-00002,1039
VEL3DA,ATAPL-58346-00003,1130
VEL3DA,ATAPL-58346-00004,1148
VEL3DA,ATAPL-58346-00005,1214
VEL3DA,ATAPL-58346-00006,1215
VEL3DA,ATOSU-58346-00007,1216
VEL3DA,ATOSU-58346-00008,1131
VEL3DB,ATAPL-67979-00001,10306
VEL3DB,ATAPL-67979-00002,10311
VEL3DB,ATAPL-67979-00003,10312
VEL3DB,ATAPL-67979-00004,10313
VEL3DB,ATAPL-67979-00005,10314
VEL3DB,ATAPL-67979-00006,10349
VEL3DB,ATAPL-67979-00007,10350
VEL3DB,ATAPL-67979-00008,10351
VEL3DB,ATAPL-67979-00009,10352
VEL3DB,ATAPL-67979-00010,10364
VEL3DC,ATOSU-69829-00001,"VEC-5157, VEC-13934"
VEL3DC,ATOSU-69829-00002,"VEC-5156, VEC-12587"
VEL3DC,ATOSU-69829-00003,"VEC-5007, VEC-8167"
VEL3DC,ATOSU-69829-00004,"VEC-4940, VEC-8159"
VEL3DC,ATOSU-69829-00005,"VEC-4943, VEC-8181"
VELPTD,ATAPL-70114-00001,"AQS-6031, AQD-8493"
VELPTD,ATAPL-70114-00002,"AQS-6334, AQD-11653"
VELPTD,ATAPL-70114-00003,"AQS-6389, AQD-11641"
VELPTD,ATAPL-70114-00004,"AQS-6802, AQD-11930"
VELPTD,ATAPL-70114-00006,"AQS-7205, AQD-12227"
VELPTD,ATAPL-70114-00007,"AQS-7340, AQD-12469"
VELPTD,ATOSU-70114-10005,"AQS-5761, AQD-8399"
VELPTD,ATOSU-70114-10008,"ALD-7050, AQD-12692"
ZPLSCB,ATOSU-63259-00001,3
ZPLSCB,ATOSU-63259-00002,4
ZPLSCB,ATOSU-63259-00003,5
ZPLSCB,ATOSU-63259-00004,1
ZPLSCB,ATOSU-63259-00005,2
